"key","ID","dataset","TL_mm","width_mm","est_width_mm","weight_g","gonads_g","pred.eggs","age","pred.age","class"
1,"1661","batch",258.7739729229361,NA,46.46404422925059,953.3333333333334,NA,2564,NA,11.272379247646924,6
2,"1662","batch",260.7140488824807,NA,46.873657128101875,953.3333333333334,NA,2649,NA,11.439754575564578,6
3,"1663","batch",254.4188204796519,NA,45.54453042956844,953.3333333333334,NA,2380,NA,10.902680341294662,6
4,"1664","batch",263.6716205102857,NA,47.49809633217813,953.3333333333334,NA,2784,NA,11.698201816332602,6
5,"1665","batch",253.22357298596762,NA,45.29217495434897,953.3333333333334,NA,2332,NA,10.802641094766173,6
6,"1666","batch",268.59175435174257,NA,48.5368960119641,953.3333333333334,NA,3019,NA,12.137261211553218,6
7,"2621","batch",254.20896767126396,NA,45.50022370191019,965,NA,2372,NA,10.885072522614992,6
8,"2622","batch",288.409476980567,NA,52.72105940757094,965,NA,4123,NA,14.033553536015793,6
9,"3741","batch",305.4635850507766,NA,56.321734221149505,1435,NA,5303,NA,15.858912436547831,7
10,"3742","batch",302.5816296450794,NA,55.71326005173356,1435,NA,5088,NA,15.536019318320127,7
11,"3743","batch",307.08881158940494,NA,56.66487220525908,1435,NA,5428,NA,16.043808638150615,7
12,"3744","batch",317.5492431949824,NA,58.873408263920346,1435,NA,6286,NA,17.285796590074817,7
13,"4751","batch",307.76910235174,NA,56.8085036284778,1314,NA,5481,NA,16.121818098350374,7
14,"4752","batch",318.7198757342994,NA,59.120566724680735,1314,NA,6388,NA,17.430746705811643,7
15,"4753","batch",318.2077910043299,NA,59.01244904523198,1314,NA,6343,NA,17.36718364145203,7
16,"4754","batch",305.13373663648963,NA,56.25209253289865,1314,NA,5278,NA,15.821636690437023,7
17,"4755","batch",305.3197654951364,NA,56.29136925280512,1314,NA,5292,NA,15.842649287470218,7
18,"5751","batch",315.32214990258217,NA,58.403196705953086,1290,NA,6095,NA,17.01347740121244,7
19,"5752","batch",308.3960807342082,NA,56.940879080839046,1290,NA,5530,NA,16.19404004460388,7
20,"5753","batch",313.2546468786895,NA,57.966679824830955,1290,NA,5922,NA,16.76460676454478,7
21,"5754","batch",306.0748333334923,NA,56.45078853975455,1290,NA,5350,NA,15.928210729496653,7
22,"5755","batch",309.3366836644709,NA,57.13947083753673,1290,NA,5604,NA,16.30298088457542,7
23,"6721","batch",314.7751817982644,NA,58.28771401586224,1105,NA,6049,NA,16.947273870098876,7
24,"6722","batch",308.14733562618494,NA,56.8883609285104,1105,NA,5511,NA,16.165349386538352,7
25,"7721","batch",306.15224607661366,NA,56.46713287821303,1220,NA,5356,NA,15.937007809361157,7
26,"7722","batch",314.1696615405381,NA,58.15986906893621,1220,NA,5998,NA,16.87428976789205,7
27,"8711","batch",321.7514998167753,NA,59.760640801441006,1360,NA,6658,NA,17.812115667873627,7
28,"9661","batch",287.39548353268765,NA,52.50697253454997,961.6666666666666,NA,4060,NA,13.931089562996545,6
29,"9662","batch",255.405330354115,NA,45.752814629697944,961.6666666666666,NA,2421,NA,10.985705032964113,6
30,"9663","batch",271.130391351413,NA,49.07288454140818,961.6666666666666,NA,3146,NA,12.368423730681851,6
31,"9664","batch",265.62642364320345,NA,47.910818614529354,961.6666666666666,NA,2875,NA,11.871256267894381,6
32,"9665","batch",276.0213323221542,NA,50.10552066025687,961.6666666666666,NA,3402,NA,12.823060050390108,6
33,"9666","batch",274.86294577270746,NA,49.860947724761814,961.6666666666666,NA,3340,NA,12.7142525693056,6
34,"10611","batch",261.15231966250576,NA,46.96619029094258,1120,NA,2669,NA,11.477799986542719,6
35,"11731","batch",309.07408474572003,NA,57.08402769686196,1323.3333333333333,NA,5583,NA,16.27249466154548,7
36,"11732","batch",315.952217457816,NA,58.53622438278284,1323.3333333333333,NA,6149,NA,17.090067531460228,7
37,"11733","batch",302.0480319671333,NA,55.60060029188833,1323.3333333333333,NA,5049,NA,15.47691781371075,7
38,"12731","batch",315.9244162105024,NA,58.53035463863814,1223.3333333333333,NA,6146,NA,17.086680593137892,7
39,"12732","batch",315.38010848872364,NA,58.41543364150498,1223.3333333333333,NA,6100,NA,17.0205080362715,7
40,"12733","batch",316.9791390877217,NA,58.75304081393819,1223.3333333333333,NA,6237,NA,17.21566050243799,7
41,"13631","batch",283.30195778328925,NA,51.6426966073708,870,NA,3813,NA,13.523747686283,6
42,"13632","batch",255.72309432830662,NA,45.81990490107561,870,NA,2434,NA,11.012536657544533,6
43,"13633","batch",280.40599753614515,NA,51.03126556213008,870,NA,3645,NA,13.241490398657204,6
44,"14741","batch",303.3984301947057,NA,55.885713114341634,1192.5,NA,5148,NA,15.626897764422763,7
45,"14742","batch",309.68463051877916,NA,57.21293369291525,1192.5,NA,5632,NA,16.34346188708531,7
46,"14743","batch",307.73899571225047,NA,56.80214714134372,1192.5,NA,5479,NA,16.11835798832943,7
47,"14744","batch",322.1674291919917,NA,59.848456969803685,1192.5,NA,6696,NA,17.865128046529342,7
48,"15741","batch",319.73910325206816,NA,59.3357586794536,1232.5,NA,6478,NA,17.55798785634113,7
49,"15742","batch",317.8734256159514,NA,58.94185367738803,1232.5,NA,6314,NA,17.32581105023843,7
50,"15743","batch",318.17582399584353,NA,59.0056997739216,1232.5,NA,6340,NA,17.363223756366175,7
51,"15744","batch",312.58804262429476,NA,57.82593806691889,1232.5,NA,5867,NA,16.6851543118916,7
52,"16751","batch",323.0739162005484,NA,60.039845749979655,1274,NA,6779,NA,17.981254083179806,7
53,"16752","batch",305.5641549192369,NA,56.34296777912153,1274,NA,5311,NA,15.870294368247416,7
54,"16753","batch",303.3737780228257,NA,55.88050824205967,1274,NA,5146,NA,15.624147638143233,7
55,"16754","batch",302.60753549821675,NA,55.71872961675168,1274,NA,5090,NA,15.53889402079801,7
56,"16755","batch",316.40173756703734,NA,58.63113264352605,1274,NA,6187,NA,17.14492722158601,7
57,"17621","batch",274.1916757086292,NA,49.719220863240515,985,NA,3304,NA,12.651524677343241,6
58,"17622","batch",254.0005113563966,NA,45.456211819284356,985,NA,2363,NA,10.867600336269762,6
59,"18681","batch",296.9713240619749,NA,54.5287427538251,875,NA,4687,NA,14.924893470574366,6
60,"18682","batch",253.37083230703138,NA,45.323266168632124,875,NA,2338,NA,10.814933842383924,6
61,"18683","batch",290.1131696982775,NA,53.080764144604544,875,NA,4231,NA,14.20714754181491,6
62,"18684","batch",293.92860274598934,NA,53.88632569149009,875,NA,4480,NA,14.60262162034366,6
63,"18685","batch",289.82050467352383,NA,53.01897307472815,875,NA,4213,NA,14.177197739862,6
64,"18686","batch",274.3384816478938,NA,49.75021635393505,875,NA,3312,NA,12.665222967363253,6
65,"18687","batch",274.2239417869132,NA,49.72603327787586,875,NA,3306,NA,12.654534418881916,6
66,"18688","batch",286.1397526138462,NA,52.24184704845068,875,NA,3983,NA,13.80506782869986,6
67,"19641","batch",299.82126727723517,NA,55.13045811255689,865,NA,4888,NA,15.232525304323959,6
68,"19642","batch",263.9601346387062,NA,47.55901101333814,865,NA,2797,NA,11.723630211326887,6
69,"19643","batch",284.42934946902096,NA,51.880725522816874,865,NA,3880,NA,13.634940081975556,6
70,"19644","batch",275.7885318803601,NA,50.05636894362021,865,NA,3389,NA,12.801135759514672,6
71,"20741","batch",310.35271223448217,NA,57.353987390783296,1265,NA,5685,NA,16.421465820969075,7
72,"20742","batch",324.1888406723738,NA,60.2752424325981,1265,NA,6882,NA,18.125204451519515,7
73,"20743","batch",302.27235325984657,NA,55.6479617854063,1265,NA,5065,NA,15.50173812140949,7
74,"20744","batch",324.37983320467174,NA,60.315567144849005,1265,NA,6900,NA,18.149989558206116,7
75,"21751","batch",303.9893160741776,NA,56.010468269824095,1320,NA,5192,NA,15.692951928809867,7
76,"21752","batch",310.82352745719254,NA,57.45339174000423,1320,NA,5723,NA,16.476658159009716,7
77,"21753","batch",301.87379611097276,NA,55.563813456932394,1320,NA,5036,NA,15.457664828631865,7
78,"21754","batch",311.17037248797715,NA,57.52662196473481,1320,NA,5751,NA,16.517435453108845,7
79,"21755","batch",309.33810347504914,NA,57.13977060555556,1320,NA,5604,NA,16.30314586857896,7
80,"22751","batch",310.4089177902788,NA,57.3658542048264,1126,NA,5690,NA,16.42804500834545,7
81,"22752","batch",309.7173342965543,NA,57.21983852009584,1126,NA,5635,NA,16.347271802701997,7
82,"22753","batch",317.9954810347408,NA,58.96762353122538,1126,NA,6325,NA,17.340901597972454,7
83,"22754","batch",307.9695099182427,NA,56.85081615952229,1126,NA,5497,NA,16.14486901847137,7
84,"22755","batch",323.79041576199234,NA,60.191122023954826,1126,NA,6845,NA,18.07361957129047,7
85,"23741","batch",301.2953544128686,NA,55.44168567136233,1062.5,NA,4994,NA,15.393906819293976,7
86,"23742","batch",317.75398766994476,NA,58.916636456868424,1062.5,NA,6304,NA,17.311057377917827,7
87,"23743","batch",323.65426403284073,NA,60.162375982240825,1062.5,NA,6833,NA,18.056028391362453,7
88,"23744","batch",316.83243763819337,NA,58.72206738441273,1062.5,NA,6224,NA,17.197660608920607,7
89,"24651","batch",276.39165462134406,NA,50.183707697075796,956,NA,3422,NA,12.85799538077853,6
90,"24652","batch",266.4283951234538,NA,48.080140780089565,956,NA,2913,NA,11.942777907974033,6
91,"24653","batch",271.0797816668637,NA,49.062199197107,956,NA,3143,NA,12.363783761361884,6
92,"24654","batch",295.42158157215454,NA,54.201541898309465,956,NA,4581,NA,14.759970303300763,6
93,"24655","batch",272.13409233652055,NA,49.28479834203395,956,NA,3197,NA,12.460713244821848,6
94,"25631","batch",297.9565830293577,NA,54.73676284693714,980,NA,4756,NA,15.030602320190281,6
95,"25632","batch",262.04993733833544,NA,47.155706467589106,980,NA,2709,NA,11.555993433475917,6
96,"25633","batch",252.553594637895,NA,45.150720815931614,980,NA,2305,NA,10.74682795601043,6
97,"26751","batch",319.58116072043777,NA,59.30241189325445,1278,NA,6464,NA,17.538206260816125,7
98,"26752","batch",321.2245273347944,NA,59.64937983513857,1278,NA,6611,NA,17.745192314540418,7
99,"26753","batch",312.3228500597179,NA,57.769947323569006,1278,NA,5845,NA,16.65365141573551,7
100,"26754","batch",314.11412061937153,NA,58.14814258079951,1278,NA,5993,NA,16.8676113798668,7
101,"26755","batch",304.61133699677885,NA,56.1417970417721,1278,NA,5239,NA,15.762771588755507,7
102,"27751","batch",317.5599858611822,NA,58.87567638884703,1272,NA,6287,NA,17.287121035053524,7
103,"27752","batch",307.5246355179697,NA,56.75688875847181,1272,NA,5462,NA,16.09374271172983,7
104,"27753","batch",308.73488974384964,NA,57.01241264111713,1272,NA,5557,NA,16.2331987034745,7
105,"27754","batch",311.29551168717444,NA,57.55304290453922,1272,NA,5761,NA,16.532172215708734,7
106,"27755","batch",319.3087142892182,NA,59.244889623611094,1272,NA,6440,NA,17.504138831229383,7
107,"28621","batch",257.56994768837467,NA,46.20983548850904,1005,NA,2512,NA,11.169346663291691,6
108,"28622","batch",285.82436342933215,NA,52.175258172123655,1005,NA,3964,NA,13.773565878123224,6
109,"29641","batch",299.9213233352639,NA,55.15158318849793,980,NA,4895,NA,15.24342987688034,6
110,"29642","batch",252.16918950597756,NA,45.06956043680142,980,NA,2289,NA,10.714889208769922,6
111,"29643","batch",271.38125963974744,NA,49.12585096589738,980,NA,3158,NA,12.391442853965065,6
112,"29644","batch",269.34734085807577,NA,48.69642480652981,980,NA,3056,NA,12.205727596367218,6
113,"30721","batch",312.46896339580417,NA,57.80079658329036,1235,NA,5857,NA,16.671001197935368,7
114,"30722","batch",307.81395869888365,NA,56.81797425682871,1235,NA,5484,NA,16.126974706958535,7
115,"31751","batch",315.7560362704098,NA,58.49480417731191,1294,NA,6132,NA,17.066182139754595,7
116,"31752","batch",324.2764188144356,NA,60.293733016159784,1294,NA,6890,NA,18.13656487901209,7
117,"31753","batch",314.3172147870064,NA,58.19102234039625,1294,NA,6010,NA,16.892045015154558,7
118,"31754","batch",303.79427222162485,NA,55.9692881925935,1294,NA,5178,NA,15.671119241862415,7
119,"31755","batch",307.4410218819976,NA,56.73923521060656,1294,NA,5455,NA,16.084151122748274,7
120,"32751","batch",305.25097141601145,NA,56.27684459358466,1206,NA,5287,NA,15.834875662936762,7
121,"32752","batch",307.45298931747675,NA,56.74176192401401,1206,NA,5456,NA,16.085523606175762,7
122,"32753","batch",304.08360347151756,NA,56.03037539457329,1206,NA,5199,NA,15.703516505457438,7
123,"32754","batch",324.8163170851767,NA,60.407723035300556,1206,NA,6941,NA,18.20677129962987,7
124,"32755","batch",320.07777869328856,NA,59.407264039110025,1206,NA,6508,NA,17.60048502138293,7
125,"33631","batch",258.11070155655034,NA,46.324006151991966,983.3333333333334,NA,2535,NA,11.21554179407066,6
126,"33632","batch",263.73716545151547,NA,47.51193499310791,983.3333333333334,NA,2787,NA,11.70397524956187,6
127,"33633","batch",282.97093158145435,NA,51.57280625000503,983.3333333333334,NA,3794,NA,13.49124008772018,6
128,"34751","batch",307.98011240549386,NA,56.85305468813073,1208,NA,5497,NA,16.14608941011678,7
129,"34752","batch",323.8656326532364,NA,60.20700274693038,1208,NA,6852,NA,18.08334579610255,7
130,"34753","batch",322.0839076060802,NA,59.83082285668892,1208,NA,6689,NA,17.85446919867244,7
131,"34754","batch",321.39951193518937,NA,59.68632475426376,1208,NA,6627,NA,17.767384757583386,7
132,"34755","batch",305.3732492234558,NA,56.302661400873085,1208,NA,5297,NA,15.848695380557308,7
133,"35791","batch",310.44018251262605,NA,57.372455200776805,1378.888888888889,NA,5692,NA,16.43170585423818,7
134,"35792","batch",306.87662800215185,NA,56.62007337465875,1378.888888888889,NA,5412,NA,16.019552145785774,7
135,"35793","batch",314.7278562486172,NA,58.277722058853875,1378.888888888889,NA,6045,NA,16.941558097315635,7
136,"35794","batch",315.39149772934616,NA,58.41783827924308,1378.888888888889,NA,6101,NA,17.02188995185896,7
137,"35795","batch",317.0609879139811,NA,58.77032175328839,1378.888888888889,NA,6244,NA,17.225711627845534,7
138,"35796","batch",319.95950534008443,NA,59.38229270186704,1378.888888888889,NA,6497,NA,17.585631663844886,7
139,"35797","batch",306.0832103807479,NA,56.45255720586956,1378.888888888889,NA,5351,NA,15.92916246110192,7
140,"35798","batch",313.8206240274012,NA,58.08617594013861,1378.888888888889,NA,5969,NA,16.832365082268012,7
141,"35799","batch",306.74736135825515,NA,56.59278099753775,1378.888888888889,NA,5402,NA,16.00479193114007,7
142,"36771","batch",322.3515134546906,NA,59.88732312249531,1225.7142857142858,NA,6713,NA,17.888644667278037,7
