"key","ID","dataset","TL_mm","width_mm","weight_g","gonads_g","pred.eggs","pred.age","age","class"
1,"1661","batch",252.1959910329897,44.73906878070815,953.3333333333334,NA,2290,12.472486321212358,NA,6
2,"1662","batch",261.58284869161434,46.746639304995554,953.3333333333334,NA,2688,13.355764432148145,NA,6
3,"1663","batch",285.8606498541776,51.9389411147168,953.3333333333334,NA,3966,15.763638481374024,NA,6
4,"1664","batch",277.23761587566696,50.094729827536895,953.3333333333334,NA,3468,14.886938058299506,NA,6
5,"1665","batch",278.85741193429567,50.44115617604683,953.3333333333334,NA,3558,15.049751101552705,NA,6
6,"1666","batch",275.54828420327976,49.73343187303839,953.3333333333334,NA,3376,14.718037316679638,NA,6
7,"2621","batch",254.55712505383417,45.244045337989206,965,NA,2386,12.692316343781187,NA,6
8,"2622","batch",256.95616692700423,45.7571292608803,965,NA,2486,12.917275940438504,NA,6
9,"3741","batch",321.22598480805755,59.50253764690955,1435,NA,6611,19.641993500940163,NA,7
10,"3742","batch",311.8537778984755,57.49810048343429,1435,NA,5807,18.56625688737169,NA,7
11,"3743","batch",315.45048962533474,58.26733047602581,1435,NA,6106,18.974705000684903,NA,7
12,"3744","batch",304.4853198658675,55.92220579176172,1435,NA,5229,17.745843479187993,NA,7
13,"4751","batch",316.00671845301986,58.38629132957552,1314,NA,6153,19.038352082562188,NA,7
14,"4752","batch",309.48785967566073,56.99210072720775,1314,NA,5616,18.300470286672727,NA,7
15,"4753","batch",311.138264009729,57.345073278270924,1314,NA,5749,18.485636792078832,NA,7
16,"4754","batch",312.8491100408137,57.71097251617446,1314,NA,5888,18.678753451553877,NA,7
17,"4755","batch",311.9983939640224,57.529029571856505,1314,NA,5819,18.582576791763383,NA,7
18,"5751","batch",318.6453653983772,58.950619672898505,1290,NA,6381,19.34206643089488,NA,7
19,"5752","batch",315.0810624342412,58.188320953704114,1290,NA,6075,18.932504645936614,NA,7
20,"5753","batch",301.40096151456237,55.262552994456264,1290,NA,5001,17.408740173420256,NA,7
21,"5754","batch",320.9951819460839,59.4531757582488,1290,NA,6590,19.615051032785296,NA,7
22,"5755","batch",307.8188778422773,56.63515499988086,1290,NA,5485,18.11433207999521,NA,7
23,"6721","batch",322.12777522951365,59.6954038791504,1105,NA,6693,19.74748676889306,NA,7
24,"6722","batch",323.4502230230719,59.97823625040906,1105,NA,6814,19.902838329911095,NA,7
25,"7721","batch",311.8490203972906,57.49708299499509,1220,NA,5806,18.565720149202587,NA,7
26,"7722","batch",324.11139448545873,60.11964122187663,1220,NA,6875,19.980799403415574,NA,7
27,"8711","batch",315.81105674244463,58.344445091231684,1360,NA,6137,19.015948452126608,NA,7
28,"9661","batch",274.7387576755136,49.560298151949226,961.6666666666666,NA,3333,14.637423607261034,NA,6
29,"9662","batch",257.5588672722224,45.88602899410744,961.6666666666666,NA,2512,12.974047759277788,NA,6
30,"9663","batch",253.0077196797356,44.91267346975225,961.6666666666666,NA,2323,12.547886312332345,NA,6
31,"9664","batch",262.55942556867376,46.95550014260331,961.6666666666666,NA,2733,13.449112548450824,NA,6
32,"9665","batch",289.3620057865046,52.68777733024416,961.6666666666666,NA,4183,16.12678468820207,NA,6
33,"9666","batch",265.8418731042184,47.65751834289258,961.6666666666666,NA,2885,13.76493815061852,NA,6
34,"10611","batch",265.93796798121184,47.67807018778072,1120,NA,2890,13.774232475679486,NA,6
35,"11731","batch",312.1239686701447,57.55588627809147,1323.3333333333333,NA,5829,18.596754819563735,NA,7
36,"11732","batch",306.6047065965831,56.37547977171189,1323.3333333333333,NA,5391,17.97961344983337,NA,7
37,"11733","batch",314.6375249866396,58.09346144495206,1323.3333333333333,NA,6037,18.88191394121391,NA,7
38,"12731","batch",316.89338673092425,58.57592338369599,1223.3333333333333,NA,6229,19.140079680349704,NA,7
39,"12732","batch",307.8107844777405,56.63342406918208,1223.3333333333333,NA,5484,18.113432147511066,NA,7
40,"12733","batch",309.78732860274613,57.056148251184446,1223.3333333333333,NA,5640,18.333987461089784,NA,7
41,"13631","batch",269.5494596734643,48.450461176730386,870,NA,3066,14.125562811007786,NA,6
42,"13632","batch",271.48669599578716,48.864778585251116,870,NA,3164,14.315665069752992,NA,6
43,"13633","batch",288.9497064135503,52.59959871942175,870,NA,4157,16.083802153069637,NA,6
44,"14741","batch",301.49990144371986,55.2837133116439,1192.5,NA,5009,17.41949732085973,NA,7
45,"14742","batch",306.0457096397877,56.255926897423045,1192.5,NA,5348,17.917785135058228,NA,7
46,"14743","batch",314.618566038087,58.08940668800677,1192.5,NA,6036,18.879753278226946,NA,7
47,"14744","batch",304.77429245971143,55.98400846128393,1192.5,NA,5251,17.777614278949265,NA,7
48,"15741","batch",320.58963827975094,59.366441992759825,1232.5,NA,6554,19.567766795120694,NA,7
49,"15742","batch",316.0189910456538,58.38891607324636,1232.5,NA,6154,19.03975785441665,NA,7
50,"15743","batch",313.36437212117016,57.82117179717199,1232.5,NA,5931,18.737150485036743,NA,7
51,"15744","batch",302.97605887427926,55.59941961662617,1232.5,NA,5117,17.580433801569175,NA,7
52,"16751","batch",306.13162947259843,56.27430260205984,1274,NA,5354,17.927280390985892,NA,7
53,"16752","batch",311.95223402418196,57.51915732940896,1274,NA,5815,18.577366719497732,NA,7
54,"16753","batch",314.3435262069106,58.03058382330003,1274,NA,6013,18.848425115393507,NA,7
55,"16754","batch",314.7523546461016,58.118020104306815,1274,NA,6047,18.89500374571528,NA,7
56,"16755","batch",309.7343781478703,57.04482371891579,1274,NA,5636,18.32805851297152,NA,7
57,"17621","batch",252.38155421381816,44.77875524296977,985,NA,2298,12.489706862368184,NA,6
58,"17622","batch",252.92070996249095,44.894064671151106,985,NA,2319,12.539795400718965,NA,6
59,"18681","batch",261.4477762938477,46.71775132413308,875,NA,2682,13.342875249704157,NA,6
60,"18682","batch",290.0419025972951,52.8331870985116,875,NA,4227,16.19779425620165,NA,6
61,"18683","batch",297.9026008984074,54.51435738824424,875,NA,4752,17.030752426484224,NA,6
62,"18684","batch",251.83209815318696,44.66124288347418,875,NA,2276,12.438744128853418,NA,6
63,"18685","batch",280.2046094823163,50.729281785932216,875,NA,3634,15.185815213095463,NA,6
64,"18686","batch",271.4885021415539,48.86516486627676,875,NA,3164,14.315842850398276,NA,6
65,"18687","batch",275.71457168692723,49.768995835215,875,NA,3385,14.734622299056866,NA,6
66,"18688","batch",292.9950335933827,53.46477425554681,875,NA,4418,16.508116511120335,NA,6
67,"19641","batch",288.68243416934274,52.5424371112516,865,NA,4141,16.055970459926606,NA,6
68,"19642","batch",298.89481637859717,54.72656285936274,865,NA,4822,17.137493333899627,NA,6
69,"19643","batch",270.8838277144823,48.735842935474494,865,NA,3133,14.256380786432036,NA,6
70,"19644","batch",252.5416161858011,44.81298775279345,865,NA,2304,12.504568503762496,NA,6
71,"20741","batch",324.92382923699915,60.29339692579962,1265,NA,6951,20.07686440173346,NA,7
72,"20742","batch",308.8370142932981,56.85290419807968,1265,NA,5565,18.227750454857148,NA,7
73,"20743","batch",302.91967059858143,55.58735983641822,1265,NA,5113,17.574270832938144,NA,7
74,"20744","batch",324.51618122681975,60.20621310355761,1265,NA,6913,20.028625710900425,NA,7
75,"21751","batch",318.763367831707,58.97585689450796,1320,NA,6392,19.355718198336092,NA,7
76,"21752","batch",302.92649059556425,55.58881843155371,1320,NA,5113,17.575016161154185,NA,7
77,"21753","batch",311.5289220698178,57.42862345395606,1320,NA,5780,18.52962809195016,NA,7
78,"21754","batch",319.72189883701503,59.180858255224656,1320,NA,6476,19.466833414688697,NA,7
79,"21755","batch",317.2074271272868,58.64308731289372,1320,NA,6256,19.17618939764677,NA,7
80,"22751","batch",322.1678083278239,59.70396577186107,1126,NA,6696,19.752178213280907,NA,7
81,"22752","batch",315.7960004750639,58.341225002071006,1126,NA,6135,19.01422514887688,NA,7
82,"22753","batch",319.51110299117863,59.13577527408936,1126,NA,6458,19.44236343594734,NA,7
83,"22754","batch",311.45539655163884,57.41289852571628,1126,NA,5774,18.521343768875397,NA,7
84,"22755","batch",310.57948438450694,57.22556688476154,1126,NA,5704,18.42282140473641,NA,7
85,"23741","batch",318.67428105324507,58.9568038740992,1062.5,NA,6384,19.3454111458313,NA,7
86,"23742","batch",303.4096124023199,55.69214386101647,1062.5,NA,5149,17.627859896338013,NA,7
87,"23743","batch",318.6571043264121,58.953130281535245,1062.5,NA,6382,19.34342424610095,NA,7
88,"23744","batch",313.8469687346369,57.9243849033627,1062.5,NA,5971,18.791944846858804,NA,7
89,"24651","batch",269.09224376338534,48.35267625043331,956,NA,3043,14.080864616037776,NA,6
90,"24652","batch",253.0182265804615,44.91492058427833,956,NA,2323,12.548863476510892,NA,6
91,"24653","batch",270.330471703317,48.61749649219675,956,NA,3105,14.202064516555868,NA,6
92,"24654","batch",259.0090188595932,46.196173420328634,956,NA,2574,13.111071341436695,NA,6
93,"24655","batch",263.9482925320044,47.25253760488733,956,NA,2796,13.582353898911688,NA,6
94,"25631","batch",257.6329528016504,45.901873692148556,980,NA,2515,12.981033448050656,NA,6
95,"25632","batch",299.44037321885116,54.84324129123508,980,NA,4860,17.196339647085523,NA,6
96,"25633","batch",255.7356508935336,45.4960970707347,980,NA,2435,12.802624430605931,NA,6
97,"26751","batch",314.75210621766746,58.11796697283089,1278,NA,6047,18.89497542061652,NA,7
98,"26752","batch",318.4484932292253,58.90851455335632,1278,NA,6364,19.319303487805026,NA,7
